Theater Company,"b'Sydney Theatre Company (STC) is an Australian theatre company based in \nSydney, New South Wales. The company performs in The Wharf Theatre at \nDawes\xc2\xa0...'"

Budget Hotel,"b'Budget Hotels in Moscow: Find 13950 traveller reviews, candid photos, and the \ntop ranked Cheap Hotels in Moscow on TripAdvisor.'"

Concrete Contractor,b'A deeper look into the work of concrete contractors and why construction management software is extremely beneficial in their line of work.'

Alcoholism Treatment Program,"b'Mar 13, 2018 - ... in collaboration with National Drug Dependence Treatment Centre, AIIMS, New Delhi. ... Information regarding ill-effects of alcoholism and drug abuse is ... languages through the All India Radio programme \xe2\x80\x9cSanwarti Jayen\xc2\xa0...'"

Cajun Restaurant,"b""In South Louisiana among the rice fields, crawfish ponds & between Bayous Des Cannes & Nezpique sits D.I.'s Cajun Restaurant. Daniel Isaac Fruge\xc2\xa0..."""

Puerto Rican Restaurant,"b'5 days ago - You can get your mofongo stuffed with steak, chicken, vegetables, shrimp, crab, or mixed seafood, to name the most common options. A few restaurants where you can find a great mofongo: La Casita Blanca (Santurce) El Jibarito (Old San Juan)'"

Aquatic Centre,b'The London Aquatics Centre is an indoor facility with two 50-metre (160-foot) swimming pools and a 25-metre (82-foot) diving pool in Queen Elizabeth Olympic\xc2\xa0...'

Tongue Restaurant,"b'Best Restaurants in Tongue, Caithness and Sutherland. ... Scottish Highlands. ... $$ - $$$ British Scottish Cafe Vegetarian Friendly Gluten Free Options.'"

Electronics Hire Shop,"b'Costumes On Hire For Fancy Dress in Jp Nagar. ... Costumes On Hire For Fancy Dress, T Shi.., .. ... Scroll up to find an exhaustive list of enterprises offering Costumes on Hire for Fancy Dress in Electronic City, Bangalore that you can reach out to.'"

Musical Instrument Store,"b'166 Musical Instrument Dealers in Bangalore. Find \xe2\x9c\x93Piano Dealers, \xe2\x9c\x93Guitar Dealers, \xe2\x9c\x93Musical Instrument Keyboard Repair & Services, \xe2\x9c\x93Musical Instrument\xc2\xa0...'"

Nursery School,"b'A preschool, also known as nursery school, pre-primary school, playschool or kindergarten, is an educational establishment or learning space offering early\xc2\xa0...'"

Stereo Repair Service,"b'598 Car Stereo Repair Services in Bangalore. Find \xe2\x9c\x93Car Accessory Dealers, \xe2\x9c\x93Car Seat Cover Dealers, \xe2\x9c\x93Car Accessory Dealers-Mahindra, \xe2\x9c\x93Car Repair\xc2\xa0...'"

West African Restaurant,"b'West African cuisine. Senegalese Chicken Yassa, a tangy-spicy dish which is enjoyed throughout the West African region. Klouikloui, rings of fried peanut butter as served in Benin. A plate of fufu accompanied with peanut soup. Maafe, prepared by a Senegalese cook. Jollof rice. Local Distillation of palm wine in Ghana.'"

Jeep Dealer,"b""Finding your local Jeep dealer easy! Simply search by zip code or city and state. There's always a dealership near you! Test drive a Jeep today."""

Stereo Rental Store,"b'Radio Rentals was formed in 1930 in Brighton, Sussex, UK to rent out radio sets by Percy ... Radio Rentals stores in South Australia trade under the name RR Rentlo Reinvented due to an independent business trading as Radio Rentals.'"

Truck Stop,"b'A truck stop, known as a service station in the United Kingdom, and as a travel center by major chains in the United States, is a commercial facility which\xc2\xa0...'"

Income Tax Help Association,b'The Volunteer Income Tax Assistance (VITA) program is an initiative sponsored by the Internal Revenue Service. Founded in 1971 by Gary Iskowitz at California\xc2\xa0...'

Sheepskin Coat Store,"b""Overland Sheepskin Co. is the nation's most trusted source of quality sheepskin coats. Browse our extensive shearling collection with a 100% satisfaction\xc2\xa0..."""

Assembly Room,"b'In Great Britain and Ireland, especially in the 18th and 19th centuries, assembly rooms were gathering places for members of the higher social classes open to\xc2\xa0...'"

Asbestos Testing Service,b'Fully accredited asbestos testing laboratory serving customers nationwide since 1995. Reliable analysis and competitive pricing. We accept samples by mail!'

Hookah Bar,b'A hookah lounge is an establishment where patrons share shisha from a communal hookah or from one which is placed at each table or a bar. A hookah and a\xc2\xa0...'

Audio Visual Consultant,b'Looking for an Audio-Visual candidate that has a keen interest in technology and can manage installation crews on multiple commercial installations of audio... Looking for an Audio-Visual candidate that has a keen interest in technology and can manage installation crews on multiple commercial installations of audio...'

Fish and Chips Takeaway,b'We are a gluten-free family and have tried A LOT of GF fish and chips around the \ncountry. Our takeaway today was hands down the best we have ever tasted.'

Surinamese Restaurant,"b'Surinamese culture is very diverse and dynamic, and has strong Asian, African and European influences. The population is composed of the contribution of\xc2\xa0...'"

Youth Care,b'Child and Youth Care (CYC) is a profession which focuses on the developmental needs of children and families within the space and time of their daily lives.'

Dress Store,"b'Choose from a fashionable variety of long dresses, midi dresses and mini dresses offered at Windsor Store! Inspiring and empowering women since 1937.'"

Botanical Garden,"b'A botanical garden or botanic garden is a garden dedicated to the collection, cultivation and display of a wide range of plants labelled with their botanical names\xc2\xa0...'"

Working Womens Hostel,"b'Hostel for Working Women in Bangalore - Best working ladies hostels in \nBangalore and get working girls hostel fees, photos, location maps, contact \naddresses,\xc2\xa0...'"

Coin Operated Locker,"b'Coin-operated-locker babies or coin locker babies are infants left in public lockers, occurring primarily in Japan and China. The presumption is that such lockers\xc2\xa0...'"

Health Club,b'A health club is a place that houses exercise equipment for the purpose of physical exercise. Contents. 1 Facilities and services. 1.1 Main workout area; 1.2\xc2\xa0...'

Bar Tabac,"b'Un bar-tabac, ou caf\xc3\xa9-tabac, est un caf\xc3\xa9 ou un bar qui vend \xc3\xa9galement des \nproduits du tabac. Comme tous les bureaux de tabac, ces \xc3\xa9tablissement doivent\n\xc2\xa0...'"

Scale Supplier,"b'Find here Weighing Scale, Weighing Scale Machine manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing\xc2\xa0...'"

Jewelry Exporter,"b'May 11, 2018 - Below are the 15 countries that exported the highest dollar value worth of jewelry during 2017: Switzerland: US$11.2 billion (12.1% of total jewelry exports) China: $11.1 billion (12%) United States: $10.3 billion (11.1%) India: $9.8 billion (10.6%) Italy: $7 billion (7.5%) Hong Kong: $6.2 billion (6.7%)'"

Canoe & Kayak Store,"b'Canoe and Kayak Store. Canoe and Kayak Store is an independently owned, specialist paddle-sport store based in Gloucestershire. We also have a store in South Wales inside the Cardiff International White Water Centre, where you can Demo our boats and paddles on the course.'"

Traditional American Restaurant,"b""Many of the more complicated dishes with rich ingredients like Lobster Newberg, waldorf salad, vichyssoise, eggs benedict, and the New York strip steak were born out of a need to entertain and impress the well to do in expensive bygone restaurants like Delmonico's and still standing establishments like the Waldorf- ..."""

Mitsubishi Dealer,"b'Results 1 - 20 of 40 - Mitsubishi Dealers Offer Helpful, Efficient And Professional Support . They Are Thorough And Upfront On All Options While Purchasing A\xc2\xa0...'"

Business to Business Service,"b'""Matesourcing"" refers to the phenomenon where businesses seek business support from family and friends rather than obtaining business services from other businesses on a commercial basis.'"

Law Book Store,"b'LAW BOOK SHOP 1st FLOOR,ORIENTAL COMPLEX,BANERJI ROAD JN., ERNAKULAM,COCHIN KERALA, INDIA-682 018. Email: sales@lawbookshop.net\xc2\xa0...'"

Equestrian Store,"b'Sep 17, 2018 - Equishop is one of the biggest equestrian shops in Poland and one of the most buoyant equestrian on-line shops in Europe. What factors\xc2\xa0...'"

Eastern European Restaurant,"b'Best Eastern European Restaurants in London, England: Find TripAdvisor traveller reviews of London Eastern European restaurants and search by price,\xc2\xa0...'"

Laundry Service,b'One stop laundry app offering all laundry services including pickup and drop. Dhobiwala laundry in Bangalore is the only ecofriendly laundry service provider.'

Chamber of Handicrafts,"b'In the Federal Republic of Germany, craft trades are governed by the Craft Trade Regulation .... The social and political and role of the Chambers of Crafts and trade in the network of the corporate governance (Mitbestimmung im Handwerk?'"

Endocrinologist,"b'Endocrinology (from endocrine + -ology) is a branch of biology and medicine dealing with the endocrine system, its diseases, and its specific secretions known\xc2\xa0...'"

Farm School,"b'Farm to School is a program in the United States through which schools buy and feature locally produced, farm-fresh foods such as fruits and vegetables, eggs,\xc2\xa0...'"

Full Gospel Church,"b""The term Full Gospel is a term often used to describe the doctrinal teachings of Pentecostalism ... Full Gospel Baptist Church Fellowship \xc2\xb7 Full Gospel Business Men's Fellowship International \xc2\xb7 Christian and Missionary Alliance \xc2\xb7 International\xc2\xa0..."""

Gastropub,"b'A gastropub or gastrolounge is a bar and restaurant that serves high-end beer \nand food. The term was coined in the 1990s, but similar brewpubs existed during\n\xc2\xa0...'"

Freight Forwarding Service,"b'A freight forwarder, forwarder, or forwarding agent, also known as a non-vessel operating common carrier (NVOCC), is a person or company that organizes\xc2\xa0...'"

Swimming Basin,"b'A swimming pool, swimming bath, wading pool, or paddling pool is a structure designed to hold water to enable swimming or other leisure activities. Pools can\xc2\xa0...'"

Alcohol Manufacturer,"b'Our company is cooperating with many fine spirit distilleries, so we would be able to supply private label alcohol drinks: vodka, rum, tequila, alco-pops and ciders as well! We can offer highest quality famous liquors with your brand on in exclusive decorated bottles as well as ...'"

Ice Supplier,"b'Ice Cube Dealers in Jp Nagar. ... How can Justdial help in choosing the best Ice Cube Dealers near you? You can search Ice Cube Dealers in Bangalore on the basis of your location, popularity, ratings & reviews on Justdial.'"

Pediatric Cardiologist,"b""8 matches - Pediatric cardiologists in Bangalore. Book Doctor's Appointment Online, View Fees, User feedbacks, Address & Phone Numbers of Pediatric\xc2\xa0..."""

X-ray Lab,"b'Find all X-RAY Scan Labs in Bangalore. Now View Prices, Normal Range, Sample Results & Book Online for X-RAY Scan Labs in Bangalore only on | Practo.'"

Medical Equipment Manufacturer,"b'Medical device manufacturing, as the name suggests, refers to the production of medical devices. Due to the large amount of regulations in the industry, the\xc2\xa0...'"

Forestry Service,b'Indian Forest Service (IFS) (\xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa5\x80\xe0\xa4\xaf \xe0\xa4\xb5\xe0\xa4\xa8 \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\xb5\xe0\xa4\xbe) is one of the three All India Services of the Government of India. The other two All India Services being the\xc2\xa0...'

Traffic Officer,"b'Traffic police or traffic officers, often referred to colloquially as traffic cops, are police officers who direct traffic or serve in a traffic or roads policing unit enforcing rules of the road.'"

Womens College,"b""Women's colleges in higher education are undergraduate, bachelor's degree-granting institutions, often liberal arts colleges, whose student populations are\xc2\xa0..."""

Local History Museum,b'Jump to History - A local museum or local history museum is a museum that covers local history. Its collection normally includes objects with a local connection of some sort.'

Printer Ink Refill Store,b'Our Costco Inkjet Refill location page will help you quickly and easily find locations near you for high quality refillable ink cartridges with unsurpassed savings.'

Metalware Dealer,"b'Nazeer Metal Ware in Badagpet, Udupi is a top company in the category Fishing Net Dealers, also known for Fishing Net Manufacturers and much more.'"

Hua Gong Shop,"b""Welcome to The Gong Shop's NEW website! The Gong Shop. Gongs from around the World for all occasions! 1-415-626-4606 \xc2\xb7 info@thegongshop.com."""

Conference Hotel,b'Conference and resort hotels are hotels which often contain full-sized luxury facilities with full-service accommodations and amenities. These hotels may attract\xc2\xa0...'

Water Treatment Supplier,"b'Find here Water Treatment Plants, Water Treatment manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing and\xc2\xa0...'"

Environmental Organization,b'This is a list of environmental organizations by organization type and further subdivided by country. See also: List of supranational environmental agencies\xc2\xa0...'

Tobacco Supplier,"b'Find here online price details of companies selling Tobacco Pouches. Get info of suppliers, manufacturers, exporters, traders of Tobacco Pouches for buying in\xc2\xa0...'"

Hong Kong Style Fast Food Restaurant,"b'Jump to Fast-food chains - [edit]. The interior of a Cha chaan teng restaurant in Mongkok, Hong Kong \xc2\xb7 Caf\xc3\xa9 de Coral \xc2\xb7 Caf\xc3\xa9 de Coral (restaurant)\xc2\xa0...'"

Veterinary Pharmacy,"b'In the United States Veterinary pharmacy is a field of pharmacy practice, in which veterinary pharmacists may compound medications, fill prescriptions, and\xc2\xa0...'"

Intellectual Property Registry,"b'Intellectual Property India. ... Content Owned, updated and maintained by Intellectual Property India, All Rights Reserved. Valid XHTML 1.0 Transitional\xc2\xa0...'"

Horse Trainer,"b""A horse trainer is a person who tends to horses and teaches them different disciplines. Some of the responsibilities trainers have are caring for the animals'\xc2\xa0..."""

Alsace Restaurant,"b'Dining in Alsace, Grand Est: See 4,25457 TripAdvisor traveller reviews of 4825 Alsace restaurants and search by cuisine, price, location, and more.'"

Goldfish Store,b'High quality aquarium fish at the lowest prices online and shipped right to your door. Wide selection of species and sizes available for all types of freshwater\xc2\xa0...'

Wholesale Market,"b'Mar 4, 2018 - There are several places in every city where wholesale products are sold. One just needs a magic wand to find them. Wholesale products are the best buy in\xc2\xa0...'"

Special Education School,b'Jump to Special schools - Special education is the practice of educating students in a way that addresses their individual differences and needs. Ideally\xc2\xa0...'

Barrister,b'A barrister (also known as barrister-at-law or bar-at-law) is a type of lawyer in common law jurisdictions. Barristers mostly specialise in courtroom advocacy and litigation.'

Fire Protection Consultant,"b'Fire Fighting Consultants in Bangalore - List of fire fighting equipment contractors\n, protection companies in Bangalore and get best fire fighting consultants price\xc2\xa0...'"

Native American Goods Store,"b'Premier Native American outfitter. From gemstones to moccasins, we have you covered. beads, leather goods, Pendleton blankets, many crafting items.'"

Konkani restaurant,"b'List of Best Konkani Restaurants in Bangalore: book a table at top Konkani restaurants in Bangalore and get amazing restaurant deals, offers on food & dining.'"

Floating Market,"b'A floating market is a market where goods are sold from boats. Originating in times and places where water transport played an important role in daily life, most\xc2\xa0...'"

Boutique Hotel,b'A boutique hotel is a small hotel which typically has between 10 and 100 rooms in unique settings with upscale accommodations and individualized unique\xc2\xa0...'

Agrochemicals Supplier,"b'Find here Agro Chemicals, Agricultural Chemical manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing and\xc2\xa0...'"

Earth Works Company,"b'Earthworks is a professional audio equipment company founded by David E. Blackmer in the mid 1990s after he left dbx to design studio microphones,\xc2\xa0...'"

Basket Supplier,"b'Find here Baskets, Tokriyaan manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing and supplying Baskets,\xc2\xa0...'"

Organ Donation and Tissue Bank,b'Jump to Organ Donation - There are different types of body donations that involve different organs. Organ donation and whole body donation are not one\xc2\xa0...'

Beer Distributor,"b'Distributors are regulated by the states and provide a tremendous variety of beer brands and styles to licensed retailers at a great value while protecting the public. The three-tier system is made up of brewers and importers, distributors and retailers.'"

Funeral Home,"b'A funeral home, funeral parlor or mortuary, is a business that provides interment and funeral services for the dead and their families. These services may include\xc2\xa0...'"

Renault dealer,b'search by using your current location or entering your town or postcode. Privacy. Search for your Renault dealer. Enter your town or postcode. Renault dealers.'

Paper Distributor,"b'Contact paper suppliers, distributors, exporters, and wholesalers for your paper sourcing needs today.'"

Hydroponics Equipment Supplier,"b'Find here Hydroponic Systems, Hydroponic Prnaliyan manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing\xc2\xa0...'"

ATV Repair Shop,"b'A pro explains common repair and maintenance for motorcycles and ATVs that you ... In 2006, ATV accidents in the United States resulted in an estimated 882\xc2\xa0...'"

Air Conditioning System Supplier,"b'Find here Industrial Air Conditioning System manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing and\xc2\xa0...'"

Abbey,"b'An abbey is a complex of buildings used by members of a religious order under the governance of an abbot or abbess. It provides a place for religious activities,\xc2\xa0...'"

Naturopathic Practitioner,"b'Jump to Practitioners - Practitioners. Naturopaths represent a diverse group of practitioners. In general, they can be categorized into three groups: 1) those\xc2\xa0...'"

Renter's Insurance Agency,"b""Renters' insurance, often called tenants' insurance, is an insurance policy that provides some of the benefits of homeowners' insurance, but does not include\xc2\xa0..."""

Department of Social Services,"b'The head office of the Department of Social Services, located in Greenway, ACT. The Australian Department of Social Services is a department of the Government of Australia charged with the responsibility for national policies and programs that help deliver a strong and fair society for all Australians.'"

Building Firm,"b'Construction is the process of constructing a building or infrastructure. Construction differs from ... There are also categories for construction service firms (e.g., engineering, architecture) and construction managers (firms engaged in managing\xc2\xa0...'"

Haberdashery,"b'A haberdasher is a person who sells small articles for sewing, such as buttons, ribbons and zippers (in the United Kingdom), or a men\'s outfitter (American English). The sewing articles are called haberdashery, or ""notions"" (American English).'"

Karnataka restaurant,"b'Nearby restaurants. 3.9. Kuldeep Paranthe Wala. Yusuf Sarai, Delhi NCR. 3.4. Twenty Ten - Ashtan Sarovar Portico. Green Park, Delhi NCR. 3.5. Eighteen Paranthe. Yusuf Sarai, Delhi NCR. 3.4. Elegant China X-Press. Yusuf Sarai, Delhi NCR. 3.3. Annapurna Restaurant. Hauz Khas, Delhi NCR.'"

Emergency Locksmith Service,"b'At Ability Locksmith Services, we are experts in repairing and replacing locks. Our 24 hour emergency service includes faulty or damaged door and window lock repairs, uPVC door re-alignment and a re-keying service for keys broken inside a lock with the old, broken key removed.'"

Personal Injury Attorney,"b'A personal injury lawyer is a lawyer who provides legal services to those who claim to have been injured, physically or psychologically, as a result of the negligence of another person, company, government agency or any entity.'"

Motorcycle Rental Agency,"b""Harley-Davidson Motor Company has formed an exclusive alliance with EagleRider, the world's largest motorcycle rental and tour company. Motorcycle enthusiasts and travelers are able to rent and tour on the most current Harley-Davidson Touring and Cruiser motorcycles at EagleRider locations around the country."""

Korean Rib Restaurant,"b'Korean barbecue refers to the popular method in Korean cuisine of grilling meat, typically beef, pork, or chicken. Such dishes are often prepared on gas or charcoal grills built into the dining table itself. Some Korean restaurants that do not have built-in grills provide customers ... Another popular form is galbi, made from marinated beef short ribs.'"

Gas Station,b'Jump to Service stations - A filling station is a facility that sells fuel and engine lubricants for motor vehicles. The most common fuels sold in the 2010s are\xc2\xa0...'

Cotton Exporter,"b'The following is a list of countries by raw cotton exports. Data is for 2016, in millions of United States dollars, as reported by The Observatory of Economic\xc2\xa0...'"

Motorcycle Shop,"b'845 Second Hand Motorcycle Dealers in Bangalore. Find \xe2\x9c\x93Second Hand Motorcycle Buyers, \xe2\x9c\x93Motorcycle Repair & Services, \xe2\x9c\x93Second Hand Motorcycle\xc2\xa0...'"

Piano Tuning Service,b'Minor Repairs. Many repairs can be made in your home during the piano tuning process. Repairs that can be made with no additional service call (such as sticking keys or squeaky pedals) are included in our piano tuning service in both our locations in Portland and Seattle/Bellevue.'

Medical Office,"b'Mar 24, 2010 - A medical office should be an outpatient facility in a specific location. A medical practice or health care system may have multiple medical\xc2\xa0...'"

Home Builder,"b""Modern Home Builder Magazine - The magazine for North America's leaders in modern and custom home construction."""

Food Broker,"b'A food broker is an independent sales agent that works in negotiating sales for food producers and manufacturers. Food brokers work for both producers and buyers of food as they help sell food products to chain wholesalers, retail stores, independent wholesalers and more.'"

State Department Science Technology,"b'The Department of Science and Technology (DST) is a department within the Ministry of ... Minister of State Dr. Harsh Vardhan is head of the department, while\xc2\xa0...'"

State Park,"b'State parks are parks or other protected areas managed at the sub-national level within those nations which use ""state"" as a political subdivision. State parks are\xc2\xa0...'"

Gourmet Grocery Store,b'Order delicious specialty foods online at the Gourmet Food Store. Explore the most elegant foods and ingredients from around the world. Bon Appetit!'

Boiler Supplier,"b'Find here Boiler (\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa4\xb2\xe0\xa4\xb0) manufacturers, suppliers & exporters in India. Get contact details & address of companies manufacturing and supplying Boiler across\xc2\xa0...'"

Self-Storage Facility,"b'Self storage (a shorthand for ""self-service storage"", and also known as ""mini storage"") is an industry in which storage space (such as rooms, lockers, containers, and/or outdoor space), also known as ""storage units"" is rented to tenants, usually on a short-term basis (often month-to-month).'"

Hub Cap Supplier,b'Find Hub Cap manufacturers and suppliers from China. Source high quality Hub Cap supplied by verified and experienced manufacturers. Contact reliable\xc2\xa0...'

Business School,b'A business school is a university-level institution that confers degrees in business administration or management. According to Kaplan business schools are\xc2\xa0...'

Hub Cap Supplier,b'Find Hub Cap manufacturers and suppliers from China. Source high quality Hub Cap supplied by verified and experienced manufacturers. Contact reliable\xc2\xa0...'

Business School,b'A business school is a university-level institution that confers degrees in business administration or management. According to Kaplan business schools are\xc2\xa0...'

Concert Hall,b'A concert hall is a cultural building with a stage that serves as a performance \nvenue and an auditorium filled with seats. While early halls built in the 18th and\xc2\xa0...'

French Steakhouse Restaurant,"b'Best Steakhouses in Paris, Ile-de-France: Find TripAdvisor traveler reviews of Paris Steakhouses and search by cuisine, price, location, and more.'"

Huaiyang style restaurant,"b""Huaiyang cuisine. Huaiyang cuisine (\xe6\xb7\xae\xe6\x8f\x9a\xe8\x8f\x9c) is one of the Four Great Traditions in Chinese cuisine. It is derived from the native cooking styles of the region surrounding the lower reaches of the Huai and Yangtze rivers, and centred upon the cities of Huai'an, Yangzhou and Zhenjiang in Jiangsu Province."""

